Company,ticker,T/V
Concordia Hlthcare J,CXR,T
Condor Petroleum J,CPI,T
Conifex Timber Inc.,CFF,T
Connacher Oil & Gas,CLC,T
Cons HCI Hldgs Cl B,CXA.B,T
Constellation Softwr,CSU,T
Constellation Deb 1,CSU.DB,T
Continental Gold J,CNL,T
Contl Precious Min J,CZQ,T
Convertible DbIncmUn,OCV.UN,T
Copper Mountain J,CUM,T
Corby Spirit&Wine A,CSW.A,T
Corby Spirit&Wn B NV,CSW.B,T
Core Cdn Dividend Un,CDD.UN,T
Coro Mining Corp. J,COP,T
Corridor Resources,CDH,T
Corus Entertnmnt B,CJR.B,T
Corus Entertnmt Rec,CJR.R,T
Corvus Gold Inc. J,KOR,T
Cott Corporation,BCB,T
CounterPath Corp. J,CCV,T
Coxe Commodity A Un,COX.UN,T
Coxe Glbl AgriBus Un,CAG.UN,T
CPI Card Group Inc.,PNT,T
Crescent Point Corp.,CPG,T
Crew Energy Inc.,CR,T
CRH Medical Corp. J,CRH,T
Critical Control J,CCZ,T
Crius Energy Tr Un,KWH.UN,T
Crombie REIT 5% Deb,CRR.DB.D,T
Crombie REIT 5.25 Db,CRR.DB.E,T
Crombie Real Est Un,CRR.UN,T
Crosswinds Hldgs J,CWI,T
Crown Cap Partners J,CRN,T
CT Rl Est Invest Un,CRT.UN,T
CU Inc. Pr Ser 1,CIU.PR.A,T
CU Inc. Pr Ser 4,CIU.PR.C,T
Currency Exch Intl J,CXI,T
Currency Exchg 'S' J,CXI.S,T
Cymbria Corp Cl A NV,CYB,T
Cynapsus Therpeutc J,CTH,T
D-Box Tech Inc. A J,DBO,T
Dalradian Res Inc. J,DNA,T
Dalradian Res Wt A J,DNA.WT.A,T
Danier Leather SV,DL,T
Data Group Ltd.,DGI,T
Data Group 6.00% Deb,DGI.DB.A,T
DataWind Inc. J,DW,T
DDJ High Yld Fund Un,HYB.UN,T
Delphi Energy Corp.,DEE,T
Denison Mines Corp,DML,T
Descartes Systems,DSG,T
Detour Gold Corp J,DGC,T
DH Corporation,DH,T
DH Corp. 6.0% Deb,DH.DB,T
DH Corp. 5% Deb,DH.DB.A,T
DHX Media Ltd. VV,DHX.A,T
DHX Media Ltd.,DHX.B,T
DiagnoCure Inc. J,CUR,T
Difference Cap Fin J,DCF,T
Difference Cap 8%DbJ,DCF.DB,T
DIR Industrl Ppty Db,DIN.DB,T
DirectCash Payments,DCI,T
DIRTT Env Solution J,DRT,T
Discovery Air Cl A J,DA.A,T
Discovry Air 8.375Db,DA.DB.A,T
Divers Rylty Corp. J,DIV,T
Dividend 15 Splt A,DFN,T
Dividend 15 Splt Pr,DFN.PR.A,T
Dividend 15Split 2 A,DF,T
Dividend 15Splt 2 Pr,DF.PR.A,T
Div Growth Splt Cl A,DGS,T
Div Growth Split Pr,DGS.PR.A,T
Dividend Select 15Eq,DS,T
Dollarama Inc.,DOL,T
Dominion Citrus Un,DOM.UN,T
Dominion Diamond,DDC,T
Domtar Corporation,UFS,T
Dorel Ind Inc A MV,DII.A,T
Dorel Ind Inc B SV,DII.B,T
Dorel Ind 5.5% Db US,DII.DB.U,T
DoubleLine Incm A Un,DSL.UN,T
DragonWave Inc.,DWI,T
DragonWave Inc Wt,DWI.WT,T
Dream Glbl REIT Deb,DRG.DB,T
Dream Global REIT Un,DRG.UN,T
Dream Hrd AsetAlt Un,DRA.UN,T
Dream Indust 5.25 Db,DIR.DB,T
Dream Industrl REIT,DIR.UN,T
