Company,ticker,T/V
E-L Financl 5.5 Pr 3,ELF.PR.H,T
Eagle Energy Inc. J,EGL,T
East Coast InvGrd Un,ECF.UN,T
Eastern Platinum J,ELR,T
Eastmain Resources J,ER,T
Echelon Fin Hldgs,EFH,T
Eclipse ResidntMtg A,ERM,T
Eco Oro Minerals J,EOM,T
Economic Investment,EVT,T
Ecopetrol SA ADRs,ECP,T
EcoSynthetix Inc. J,ECO,T
Eldorado Gold Corp.,ELD,T
Electrovaya Inc.,EFL,T
Element Fin Corp.,EFN,T
Element Fin 5.125 Db,EFN.DB,T
Element Fin 4.25% Db,EFN.DB.A,T
Element Fin Pr A,EFN.PR.A,T
Element Fin Pr C,EFN.PR.C,T
Element Fin Pr E,EFN.PR.E,T
Element Fin Pr G,EFN.PR.G,T
Emera Incorporated,EMA,T
Emera Inc. Rec,EMA.IR,T
Emera Inc. Ser A Pr,EMA.PR.A,T
Emera Inc. Ser B Pr,EMA.PR.B,T
Emera Inc. Ser C Pr,EMA.PR.C,T
Emera Inc. Ser E Pr,EMA.PR.E,T
Emera Inc. Ser F Pr,EMA.PR.F,T
Empire Co Cl A NV,EMP.A,T
Enbridge Inc.,ENB,T
Enbridge Ser 9 Pr,ENB.PF.A,T
Enbridge Ser 11 Pr,ENB.PF.C,T
Enbridge Ser 13 Pr,ENB.PF.E,T
Enbridge Ser 15 Pr,ENB.PF.G,T
Enbridge Ser L US Pr,ENB.PF.U,T
Enbridge Ser 5 US Pr,ENB.PF.V,T
Enbridge 5.50% Pr,ENB.PR.A,T
Enbridge Inc Sr B Pr,ENB.PR.B,T
Enbridge Inc Sr D Pr,ENB.PR.D,T
Enbridge Inc Sr F Pr,ENB.PR.F,T
Enbridge Inc Sr H Pr,ENB.PR.H,T
Enbridge Ser 7 Pr,ENB.PR.J,T
Enbridge Inc Sr N Pr,ENB.PR.N,T
Enbridge Inc Sr P Pr,ENB.PR.P,T
Enbridge Inc Sr R Pr,ENB.PR.T,T
Enbridge Sr J US Pr,ENB.PR.U,T
Enbridge Ser 1 US Pr,ENB.PR.V,T
Enbridge Ser 3 Pr,ENB.PR.Y,T
Enbridge Incm Hldgs,ENF,T
EnCana Corporation,ECA,T
Endeavour Mining Ord,EDV,T
Endeavour Silver J,EDR,T
Endo Int'l plc Ord,ENL,T
EnerCare Inc.,ECI,T
EnerCare 6.25% Deb,ECI.DB,T
Enerflex Ltd.,EFX,T
Energizer Res Inc J,EGZ,T
Energy Credit Opp U,PCF.U,T
Energy Credit Opp A,PCF.UN,T
Energy Fuels Inc. J,EFR,T
Energy Fuels Deb J,EFR.DB,T
Energy Income Fnd Un,ENI.UN,T
Energy Leaders Tr Un,HEN.UN,T
Energy Leadr+Incm Un,HPF.UN,T
Enerplus Corporation,ERF,T
Enghouse Systems Ltd,ESL,T
Ensign Engy Services,ESI,T
Enterprise Group Inc,E,T
ENTREC Corporation,ENT,T
ENTREC Corp Deb,ENT.DB,T
Entree Gold Inc. J,ETG,T
Epsilon Energy Ltd J,EPS,T
Epsilon Engy Ltd DbJ,EPS.DB,T
Equal Engy 6.75% Deb,EQU.DB.B,T
Equitable Group Inc.,EQB,T
Equitable Grp Pr 3,EQB.PR.C,T
Eqty Financl Hldgs J,EQI,T
Era Resources Inc. J,ERX,T
Erdene Res Dev J,ERD,T
Espial Group Inc. J,ESP,T
Essa Pharma Inc. J,EPI,T
Essential Energy Ltd,ESN,T
Etrion Corporation J,ETX,T
EU Bl-Chp DivGrow Un,EBC.UN,T
European Stratgc Bal,EBF.UN,T
Evertz Technologies,ET,T
exactEarth Ltd. J,XCT,T
Excel IndiaGrow Incm,EGI.UN,T
Excellon Resources J,EXN,T
Exchange Income Corp,EIF,T
Exchange Incm 6.25Db,EIF.DB.D,T
Exchange Incm 7Yr Db,EIF.DB.E,T
Exchng Incm 5.35 Deb,EIF.DB.F,T
Exchange Incm 6% Deb,EIF.DB.G,T
Exco Technologies,XTC,T
Exeter Resource J,XRC,T
EXFO Inc. SV,EXF,T
Extendicare Inc.,EXE,T
Extendicare 6% Deb,EXE.DB.B,T
Faircourt Gld Incm A,FGX,T
Faircourt Split 6%Pr,FCS.PR.C,T
Faircourt Splt Tr Un,FCS.UN,T
Fairfax Financial SV,FFH,T
Fairfax Fin Ser C Pr,FFH.PR.C,T
Fairfax Fin Ser D Pr,FFH.PR.D,T
Fairfax Fin Ser E Pr,FFH.PR.E,T
Fairfax Fin Ser F Pr,FFH.PR.F,T
Fairfax Fin Ser G Pr,FFH.PR.G,T
Fairfax Fin Ser H Pr,FFH.PR.H,T
Fairfax Fin Ser I Pr,FFH.PR.I,T
Fairfax Fin Ser J Pr,FFH.PR.J,T
Fairfax Fin Ser K Pr,FFH.PR.K,T
Fairfax Fin Ser M Pr,FFH.PR.M,T
Fairfax Fin SV USF,FFH.U,T
Fairfax India SV USF,FIH.U,T
Fennec Pharmaceut J,FRX,T
Fennec Pharma Wt J,FRX.WT,T
Fiera Capital A SV,FSZ,T
Financial 15 Splt A,FTN,T
Financial 15 Splt Pr,FTN.PR.A,T
Finning Int'l Inc.,FTT,T
Firan Tech Grp Corp.,FTG,T
Firm Cap Mtg Invest,FC,T
Firm Cap Mtg 5.75%Db,FC.DB.A,T
Firm Cap Mtg 5.4% Db,FC.DB.B,T
Firm Cap Mtg 5.25%Db,FC.DB.C,T
Firm Cap Mtg 4.75 Db,FC.DB.D,T
Firm Cap Mtg 5.3% Db,FC.DB.E,T
Firm Cap Mtg 5.5% Db,FC.DB.F,T
1stAst 1-5GvtStBndUn,BXF,T
1stAst 1-5GvtStBndAd,BXF.A,T
1st AsstActvCADiv Un,FDV,T
1st AsstActvCADiv Ad,FDV.A,T
1st AsstActvCredt Un,FAO,T
1st AstActvCrdtCA$Ad,FAO.A,T
1st AsstActvCredt US,FAO.U,T
1st AstActvCrdtUS$Ad,FAO.V,T
1st AstActUtilInfrUn,FAI,T
1st AstActUtilInfrAd,FAI.A,T
1stAsset EngyCall Un,OXF,T
1st AssetEngy Adv Un,OXF.A,T
1stAsset Material Un,MXF,T
1stAsst Materials Ad,MXF.A,T
1st Asset ConvBnd Un,CXF,T
1st Asst ConvBnd Adv,CXF.A,T
1st Asset CdnConv Un,ADC.UN,T
1st Asset CdnREIT Un,RIT,T
1st AssetCdn REIT Ad,RIT.A,T
1st Ast CanBanc Incm,CIC,T
1stAst CoreBalncd Un,CBB,T
1stAssetCoreBlncd Ad,CBB.A,T
1st AstCoreCdn Eq Un,CED,T
1st AstCoreCdn Eq Ad,CED.A,T
First AsstCoreCdnETF,CSY,T
1st AstCoreUSEqtC$Un,CES,T
1st AstCoreUSEq C$Ad,CES.A,T
1st AstCoreUSEqC$U-H,CES.B,T
1st AstCoreUSEqC$UHA,CES.D,T
1st AstCoreUS$U-H Un,CES.U,T
1st AstCoreUS$U-H Ad,CES.V,T
1st Asset Divers Un,DCD.UN,T
1st Asset EngyRes Un,TRF.UN,T
1stAstEngyGiantCovUn,NXF,T
1stAstEngyGiantCovAd,NXF.A,T
1stAstEngyGiatUnhgUn,NXF.B,T
1stAstEngyGiatUnhgAd,NXF.D,T
1stAsst Glb MmtmCA-H,FGM,T
1stAsstGlbl MomentCl,FGL,T
1st Aset GlblValCA-h,FGV,T
1st Asset GlblVal Cl,FGU,T
1stAst HamCpEU ETFUn,FHB,T
1stAst HamCpEU ETFAd,FHB.A,T
1stAst HamCpEU FndUn,EB.UN,T
1stAsst MornstrDiv30,DXM,T
1stAsst MornDiv30Adv,DXM.A,T
1stAsst MornMomnt Un,WXM,T
1stAsst MornMomentAd,WXM.A,T
1stAst MornCdaVal Un,FXM,T
1stAst MornCdaVal Ad,FXM.A,T
1stAst MornIntlMomUn,ZXM,T
1stAst MornIntlMomAd,ZXM.A,T
1stAst IntlMomUnhgUn,ZXM.B,T
1stAst IntlMomUhg Ad,ZXM.D,T
1stAsst MrnIntlValUn,VXM,T
1stAsst MrnIntlValAd,VXM.A,T
1stAst IntlValUnhgUn,VXM.B,T
1stAst IntlValUnhgAd,VXM.D,T
1stAsst MornstrNBkQC,QXM,T
1stAsst MornNBkQC Ad,QXM.A,T
1stAst MornUS Consmr,UCD.UN,T
1stAstUS Div50 Un,UXM,T
1stAstUS Div50 Ad Un,UXM.A,T
1stAstUS Dv50 UnhgUn,UXM.B,T
1stAstUS Div50UnhgAd,UXM.D,T
1st Ast US Moment Un,YXM,T
1st AstUSMmnt Adv Un,YXM.A,T
1st AstUSMmntUnhegUn,YXM.B,T
1st AstUSMmnt UnhgAd,YXM.D,T
1stAstMrnStrUSVal Un,XXM,T
1stAstMrnstrUSVal AD,XXM.A,T
1stAst MrnUS ValUnhg,XXM.B,T
1stAstMrnUSValUnhgAd,XXM.D,T
1st AstMSCI CdaLR Un,RWC,T
1st AstMSCI CdaLR Ad,RWC.A,T
1stAst MSCI EurLR Un,RWE,T
1stAst MSCI EurLR Ad,RWE.A,T
1stAst EurLR Unhg Un,RWE.B,T
1stAst EurLR Unhg Ad,RWE.D,T
1st Ast MSCI USA Un,RWU,T
1st Ast MSCI USA Adv,RWU.A,T
1stAstMSCI USA Unheg,RWU.B,T
1st Ast USA Unheg Ad,RWU.D,T
1st AstMSCI World Un,RWW,T
1st AstMSCI Wrld Adv,RWW.A,T
1st AstMSCI WrldUnhg,RWW.B,T
1st AstMSCI WrlUnhgA,RWW.D,T
1st Asset ProvBnd Un,PXF,T
1st Asset ProvBnd Ad,PXF.A,T
1stAsst ST GovtBndCl,FGB,T
1stAstTech Giants Un,TXF,T
1stAstTech Giant Adv,TXF.A,T
1st Ast US&CdaLifeco,FLI,T
1stAst US&CdaLfecoAd,FLI.A,T
First Capital Realty,FCR,T
First Cap Jan 5.4 Db,FCR.DB.E,T
First Cap Jan 5.25Db,FCR.DB.F,T
First Cap Mar 5.25Db,FCR.DB.G,T
First Cap Mar 4.95Db,FCR.DB.H,T
First Cap Jul 4.75Db,FCR.DB.I,T
First Cap Feb 4.45Db,FCR.DB.J,T
First Majestic J,FR,T
First Nat'l Fin Corp,FN,T
1st Natl Fin Sr 1 Pr,FN.PR.A,T
1st Natl MtgInvst Un,FNM.UN,T
First Point Min J,FPX,T
First Quantum Mnrl J,FM,T
1st Tr AlphCdnDiv Un,FDY,T
1st Tr AlphCdnDiv Ad,FDY.A,T
1st Tr AlphEmrgMktUn,FDE,T
1st Tr AlphEmrgMktAd,FDE.A,T
1st TrAlphDEX EU Div,EUR,T
1st TrAlphDX EUDivAd,EUR.A,T
1stTr AlpDEX US Dscr,FHD,T
1stTr AlpDEX US Stpl,FHC,T
1st Tr AlphaUSDiv Un,FUD,T
1st Tr AlphaUSDivAdv,FUD.A,T
1stTrAlphDEX US Engy,FHE,T
1stTr AlphDEX US Fin,FHF,T
1stTr AlpDEX US Hlth,FHH,T
1stTr AlphDEX US Ind,FHG,T
1stTr AlpDEX US Mtrl,FHM,T
1stTr AlpDEX US Tech,FHQ,T
1stTr AlpDEX US Util,FHU,T
1st Tr Glbl DivSkr A,FDS.UN,T
1st Tr Glb RskMngeUn,ETP,T
1st Tr Glb RskMngeAd,ETP.A,T
1st Tr SnrLoan Cad-H,FSL,T
1st Tr SnrLoanC-H Ad,FSL.A,T
1st Tr ShDurHiYld Un,FSD,T
1st Tr ShDurHiYld Ad,FSD.A,T
1st Tr TacticlBnd Un,FTB,T
FirstService Corp SV,FSV,T
Fission Uranium J,FCU,T
Flaherty&Crum Fix Un,FFI.UN,T
Floating Rate Fnd Un,OFR.UN,T
Foraco Int'l SA,FAR,T
Formation Metals J,FCO,T
Forsys Metals Corp J,FSY,T
Fortis Inc.,FTS,T
Fortis Inc. 1st Pr E,FTS.PR.E,T
Fortis Inc. 1st Pr F,FTS.PR.F,T
Fortis Inc. 1st Pr G,FTS.PR.G,T
Fortis Inc. 1st Pr H,FTS.PR.H,T
Fortis Inc.1st Pr I,FTS.PR.I,T
Fortis Inc. 1st Pr J,FTS.PR.J,T
Fortis Inc. 1st Pr K,FTS.PR.K,T
Fortis Inc. 1st Pr M,FTS.PR.M,T
Fortress Paper Ltd A,FTP,T
Fortress Paper 6.5Db,FTP.DB,T
Fortress Paper 7% Db,FTP.DB.A,T
Fortuna Silver Mines,FVI,T
Fortune Bay Corp. J,FOR,T
Fortune Minerals J,FT,T
FP Newspapers Inc.,FP,T
Franco-Nevada Corp.,FNV,T
Franco-Nevada Wt A,FNV.WT.A,T
Freegold Ventures J,FVL,T
Freehold Royalties,FRU,T
Gabriel Resources J,GBU,T
Gamehost Inc.,GH,T
Gazit-Globe Ltd. Ord,GZT,T
GDI Integrated SV J,GDI,T
Gear Energy Ltd.,GXE,T
Gendis Inc.,GDS,T
GeneNews Limited J,GEN,T
"General Moly, Inc.",GMO,T
General Motors Co US,GMM.U,T
Genesis Land Dev,GDC,T
Genworth MI Canada,MIC,T
Geodrill Limited Ord,GEO,T
Geologix Expl Inc. J,GIX,T
Weston George,WN,T
Weston George 1 Pr,WN.PR.A,T
Weston George III Pr,WN.PR.C,T
Weston George IV Pr,WN.PR.D,T
Weston George V Pr,WN.PR.E,T
GibraltarGrwthA RV J,GBG.A,T
Gibraltar Grwth Wt J,GBG.WT,T
Gibson Energy Inc,GEI,T
Gildan Activewear,GIL,T
Glacier Media Inc. J,GVC,T
GLG Life Tech Corp J,GLG,T
Glbl Adv Tel&Util Un,HGI.UN,T
Globl Alpha World Un,GAF.UN,T
Global Cap Sec A Un,NAF.UN,T
Glbl Champions Pr 1,GCS.PR.A,T
Globe Divers Grd 2Un,GII.UN,T
Global Dividend Un,GDP.UN,T
Glbl Div Growers Un,GDG.UN,T
Glbl HealthcareDvdFd,GHC.UN,T
Global Healthcare Un,HIG.UN,T
Global Infras Div Un,GIF.UN,T
Global RlEstDivGroEq,GRL,T
Global WaterSolut Un,HTO.UN,T
Globalance Div GroEq,GBF,T
Globex Mining Ent J,GMX,T
Gluskin Sheff + Assc,GS,T
GMP Capital Inc.,GMP,T
GMP Capital Ser B Pr,GMP.PR.B,T
goeasy Ltd.,GSY,T
GoGold Resources J,GGD,T
Goldcorp Inc.,G,T
Golden Minerals J,AUM,T
Golden Queen Mng J,GQM,T
Golden Star Resource,GSC,T
Goldgroup Mining J,GGA,T
Goldman Sachs US Un,GSB.UN,T
Goodfellow Inc.,GDL,T
Goodman Gold Tr Un,GGT.UN,T
Gran Colombia Gold J,GCM,T
Gran Colombia 18USDb,GCM.DB.U,T
Gran Colombia 20USDb,GCM.DB.V,T
Gran Colombia A Wt J,GCM.WT.A,T
Gran Tierra Energy J,GTE,T
Gran Tierra Exchg J,GTX,T
Granite Oil Corp. J,GXO,T
Granite Rl Est Tr Un,GRT.UN,T
Great Cdn Gaming,GC,T
Gt Panther Silver J,GPR,T
Great-West Lifeco,GWO,T
Gt-West Lifeco Pr F,GWO.PR.F,T
Gt-West Lifeco Pr G,GWO.PR.G,T
Gt-West Lifeco Pr H,GWO.PR.H,T
Gt-West Lifeco Pr I,GWO.PR.I,T
Gt-West Lifeco Pr L,GWO.PR.L,T
Gt-West Lifeco Pr M,GWO.PR.M,T
Gt-West Lifeco Pr N,GWO.PR.N,T
Gt-West Lifeco Pr O,GWO.PR.O,T
Gt-West Lifeco Pr P,GWO.PR.P,T
Gt-West Lifeco Pr Q,GWO.PR.Q,T
Gt-West Lifeco Pr R,GWO.PR.R,T
Gt-West Lifeco Pr S,GWO.PR.S,T
Guardian Capital,GCG,T
Guardian Cap Cl A NV,GCG.A,T
GuestLogix Inc. J,GXI,T
GuestLogix 7% Deb J,GXI.DB,T
Guyana Goldfields J,GUY,T
GVIC Commun Cl B,GCT,T
GVIC Commun Cl C NV,GCT.C,T
GWR Global Water Res,GWR,T
H&R REIT 5.90% Deb,HR.DB.D,T
H&R REIT 4.5% 2016Db,HR.DB.E,T
H&R REIT 5.40% Deb,HR.DB.H,T
H&R Rl Est Staple Un,HR.UN,T
Halogen Software,HGN,T
Hamilton CapGlb Bk E,HBG,T
Hammond Mfg Cl A SV,HMM.A,T
Hammond Power A SV,HPS.A,T
Hanwei Energy Serv,HE,T
Hardwoods Dist Inc.,HWD,T
Harte Gold Corp. J,HRT,T
Healthcare LdrIncmUn,HHL.UN,T
Healthcare SpecOp Un,MDS.UN,T
Helix BioPharma,HBP,T
Heron Res Ltd Ord J,HER,T
Heroux-Devtek Inc.,HRX,T
High Arctic Engy Inc,HWO,T
High Liner Foods Inc,HLF,T
High Rock CdnHiYld A,HHY.UN,T
HNZ Group Inc.,HNZ.A,T
HNZ Group Inc. VV,HNZ.B,T
Holloway Lodge Crp J,HLC,T
Holloway 6.25 Db B J,HLC.DB,T
Holloway 7.5% Deb J,HLC.DB.A,T
Home Capital Group,HCG,T
Horizon Nth Logstc J,HNL,T
Horizon ActvCdnBndUn,HAD,T
Horizon ActvCdnBndAd,HAD.A,T
Horizons Cdn Div E,HAL,T
Horizons Cdn Div Adv,HAL.A,T
Horizn ActCdnMunBd E,HMP,T
Horizn ActCdnMunBdAd,HMP.A,T
Horizon CorpBnd E Un,HAB,T
Horizons CorpBnd Adv,HAB.A,T
Horizon ActvEmrgDvUn,HAJ,T
Horizon ActvEmrgDvAd,HAJ.A,T
Horizon FltgRtBnd Un,HFR,T
Horizons FltgBnd Adv,HFR.A,T
Horizn ActFltgPref E,HFP,T
Horizn ActFltgPr Adv,HFP.A,T
Horizn ActvFltLoan E,HSL,T
Horizn ActvFltLn Ad,HSL.A,T
Horizon GlblDiv E Un,HAZ,T
Horizons GlblDiv Adv,HAZ.A,T
Horizon ActiveGlbl E,HAF,T
Horizon ActiveGlb Ad,HAF.A,T
Horizon HighYldBnd E,HYI,T
Horizon HighYldBndAd,HYI.A,T
Horizon Pref Cl E Un,HPR,T
Horizons Pref Adv Un,HPR.A,T
Horizons ActvUSDiv E,HAU,T
Horizons ActvUSDivAd,HAU.A,T
Horizons ActvUSDivUS,HAU.U,T
Horizons USFltgBndCA,HUF,T
Horizons USFltgBndUS,HUF.U,T
Horizons USFltgBndAd,HUF.V,T
Horizons AuspiceE Un,HMF,T
Horizons Auspice Adv,HMF.A,T
Horizon Gld Bear+ Un,HBD,T
Horizon Gld Bull+ Un,HBU,T
Horizon COMEXSlvr Br,HZD,T
Horizon COMEXSlvr Bl,HZU,T
Horizons NASDQ100 Br,HQD,T
Horizons NASDQ100 Bl,HQU,T
Horizon CrdeOil BrUn,HOD,T
Horizon CrdOil Bl+Un,HOU,T
Horizon NatGas Br+Un,HND,T
Horizon NatGas BulUn,HNU,T
Horizons S&P500 Br A,HSD,T
Horizons S&P500 Bl A,HSU,T
Horizon SP500Inverse,HIU,T
Horizon ShrtFutr Bl+,HVU,T
Horizon ShTrm Futr A,HUV,T
Horizons 500VIXSH Un,HVI,T
Horizon Beta60Bear A,HXD,T
Horizon Beta60Bull A,HXU,T
Horizons 60 Invrs A,HIX,T
Horizon BetaEngyBear,HED,T
Horizon BetaEngyBull,HEU,T
Horizon BetaFin Bear,HFD,T
Horizon BetaFin Bull,HFU,T
Horizon BetaGld Bear,HGD,T
Horizon BetaGld Bull,HGU,T
Horizon US30yrBnd Br,HTD,T
Horizn CdnMdStream A,HOG,T
Horizon CdnEqMnge E,HUT,T
Horizon CdnEqMnge Ad,HUT.A,T
Horizon Cdn Insdr Un,HII,T
Horizon Cdn SlctUniv,HBB,T
Horizn China DivA Un,HCN,T
Horizons COMEXGold A,HUG,T
Horizons COMEXSlvr A,HUZ,T
Horizons Incm Engy E,HEE,T
Horizons IncmEgy Adv,HEE.A,T
Horizon Incm Eq E Un,HEX,T
Horizon EnhncEqty Ad,HEX.A,T
Horizons Incm Fin E,HEF,T
Horizons IncmFin Adv,HEF.A,T
Horizons Gold Prod E,HEP,T
Horizon EnhncGld Adv,HEP.A,T
Horizons Intl Eqty E,HEJ,T
Horizons Intl Eq Adv,HEJ.A,T
Horizon IncmEq CAD E,HEA,T
Horizon IncmEqCAD Ad,HEA.A,T
Horizon IncmEq USD E,HEA.U,T
Horizon IncEqUSD Adv,HEA.V,T
Horizons GldYld E Un,HGY,T
Horizons Gld Yld Adv,HGY.A,T
Horizn MgeGlb Opp E,HGM,T
Horizn MgeGlbOpp Adv,HGM.A,T
Horizn Mge Momntm E,HMA,T
Horizn Mge Momntm Ad,HMA.A,T
Horizon MornstrHdg E,HHF,T
Horizon MornstrHg Ad,HHF.A,T
Horizons NatGasYld E,HNY,T
Horizon NatGasYld Ad,HNY.A,T
Horizons CrudeOil Un,HUC,T
Horizon NYMEX NatGas,HUN,T
Horizons S&P500 Un,HXS,T
Horizon S&P500 US Un,HXS.U,T
Horizons 60EqlWgt Un,HEW,T
Horizon S&P/TSX60 A,HXT,T
Horizon S&P/TSX60 US,HXT.U,T
Horizn S&PCapEngyIdx,HXE,T
Horizn S&PCapFin Idx,HXF,T
Horizon Seasonl E Un,HAC,T
Horizons Seasonl Adv,HAC.A,T
Horizn US7-10TreasBd,HTB,T
HoriznUS7-10TreaBdUS,HTB.U,T
Horizon US$ Cur A Un,DLR,T
Horizon US$Cur A USF,DLR.U,T
Horizon US Eq Mnge E,HUS.U,T
Horizon US EqMnge Ad,HUS.V,T
Horizonte Min Ord J,HZM,T
HSBC Bank Cl 1 Pr C,HSB.PR.C,T
HSBC Bank Cl 1 Pr D,HSB.PR.D,T
HudBay Minerals Inc.,HBM,T
HudBay Minerals Wt,HBM.WT,T
Hudson's Bay Company,HBC,T
Husky Energy Inc.,HSE,T
Husky Energy Sr 1 Pr,HSE.PR.A,T
Husky Energy Sr 3 Pr,HSE.PR.C,T
Husky Energy Sr 5 Pr,HSE.PR.E,T
Husky Energy Sr 7 Pr,HSE.PR.G,T
Hydro One Limited,H,T
Hydrogenics Corp,HYG,T
Hyduke Energy Serv,HYD,T
Iamgold Corporation,IMG,T
IBI Group Inc.,IBG,T
IBI Group Inc. 7% Db,IBG.DB,T
IBI Group 6.00% Deb,IBG.DB.B,T
IBI Group 7% Sr 2 Db,IBG.DB.C,T
IC Potash Corp. J,ICP,T
iFabric Corp. J,IFA,T
IGM Financial Inc.,IGM,T
IGM Financial B Pr,IGM.PR.B,T
Immunovaccine Inc. J,IMV,T
Imperial Metals Corp,III,T
Imperial Oil Ltd.,IMO,T
Imvescor Restaurant,IRG,T
Imvescor Rstaurnt Wt,IRG.WT,T
Income Fin Tr Un,INC.UN,T
INDEXPLUS Income Un,IDX.UN,T
Indigo Books & Music,IDG,T
Indstrl Alliance Ins,IAG,T
Indstrl AlliancePr B,IAG.PR.A,T
Indstrl AlliancePr G,IAG.PR.G,T
INFOR Acquis CL A RV,IAC.A,T
INFOR Acquisition Wt,IAC.WT,T
Info Serv Corp. A LV,ISV,T
Innergex Renew Engy,INE,T
Innergex Renew4.25Db,INE.DB.A,T
Innergex Renew Pr A,INE.PR.A,T
Innergex Renew Pr C,INE.PR.C,T
Innova Gaming Group,IGG,T
InnVest REIT 6% E Db,INN.DB.E,T
InnVest REIT 5.75 Db,INN.DB.F,T
InnVest REIT 6.25 Db,INN.DB.G,T
InnVest REIT Units,INN.UN,T
Inovalis REIT Un,INO.UN,T
INSCAPE Corp Cl B SV,INQ,T
Intact Fin Corp.,IFC,T
Intact Fin A Ser 1,IFC.PR.A,T
Intact Fin A Ser 3,IFC.PR.C,T
Integrated Asset Mgt,IAM,T
IntelliPharma Intl J,I,T
Inter Pipeline Ltd.,IPL,T
Interfor Corporation,IFP,T
Intermap Technology,IMP,T
Int'l Road Dynamics,IRD,T
Int'l Tower Hill J,ITH,T
InterRent REIT Un J,IIP.UN,T
Intertape Polymer,ITP,T
Intrinsyc Tech J,ITC,T
INV Metals Inc. J,INV,T
Invest GrdInfrBnd Un,IFB.UN,T
Invest GradeMngDur T,PFU.UN,T
iShre 1-10CorpBnd Un,CBH,T
iShre 1-10CorpBnd Ad,CBH.A,T
iShre 1-10GovtBnd Un,CLG,T
iShre 1-10GovtBnd Ad,CLG.A,T
iShre 1-5 CorpBnd Un,CBO,T
iShre 1-5CorpBnd Ad,CBO.A,T
iShre 1-5 GovtBnd Un,CLF,T
iShre 1-5 GovtBnd Ad,CLF.A,T
iShrs AlternatePortf,XAL,T
iShares GrowCore Un,CBN,T
iShares GrowCore Adv,CBN.A,T
iShares IncmCore Un,CBD,T
iShares IncmCore Adv,CBD.A,T
iShares BRIC Indx Un,CBQ,T
iShares BRIC Adv Un,CBQ.A,T
iShares Cdn Corp Bnd,XCB,T
iShares CdnFinMo Un,FIE,T
iShares CdnFinMo Adv,FIE.A,T
iShares CdnFndmntlUn,CRQ,T
iShare CdnFndmntl Ad,CRQ.A,T
iShares Cdn Govt Bnd,XGB,T
iShares Cdn Growth,XCG,T
iShare Cdn HYBrd Bnd,XHB,T
iShare Cdn RlRet Bnd,XRB,T
iShares Cdn Slct Div,XDV,T
iShre Cdn Sh Trm Bnd,XSB,T
iShr Cdn Univers Bnd,XBB,T
iShares Cdn Value Un,XCV,T
iShares China Index,XCH,T
iShrs Conserve Core,XCR,T
iShr Consv ShStgyFxd,XSC,T
iShr Consv Stgy Incm,XSE,T
iShares ConvBond Un,CVD,T
iShares ConvBond Adv,CVD.A,T
iShr CoreCdnLT BndUn,XLB,T
iShr CoreCdnShMplBnd,XSH,T
iShr CoreHiCdnBnd Un,XQB,T
iShr CoreHiCdnBnd Ad,XQB.A,T
iShr CoreMSCI AC Wex,XAW,T
iShr CorMSCIEAFE IMI,XEF,T
iShrCrMSCI EAFEIMIHG,XFH,T
iShr Core EmrgMktIMI,XEC,T
iShares CoreSP500Idx,XUS,T
iShares Core S&P 500,XSP,T
iShr CorS&P US MktUn,XUU,T
iShre CoreS&P US Mkt,XUH,T
iShr CoreSP/TSX Comp,XIC,T
iShr CoreSP/TSX Div,XEI,T
iShr CoreSTCdnBnd Un,XSQ,T
iShare Divrs Mo Incm,XTR,T
iShares EmergMkts Un,CWO,T
iShares EmrgMkts Adv,CWO.A,T
iShares EqWeight Un,CEW,T
iShares EqWeight Adv,CEW.A,T
iShr FacSlctMSCI Cda,XFC,T
iShr FacSlctMSCIEAFE,XFI,T
iShr FactrSlct EAFE,XFF,T
iShr FacSlctMSCI USA,XFS,T
iShr FactrSlctUSA Un,XFA,T
iShares Fltg Rate Un,XFR,T
iShares GlblAgri Un,COW,T
iShares GlblAgri Adv,COW.A,T
iShrs Complete Portf,XGC,T
iShare Glbl Hlthcare,XHC,T
iShares GlbInfras Un,CIF,T
iShare GlbInfras Adv,CIF.A,T
iShares GlblMoDiv Un,CYH,T
iShares GlblMoDiv Ad,CYH.A,T
iShares GlblRlEst Un,CGR,T
iShare GlblRlEst Adv,CGR.A,T
iShares GlblWater Un,CWW,T
iShares GlbWater Adv,CWW.A,T
iShare GldBulHdgd Un,CGL,T
iShare GldBul Nn-Hdg,CGL.C,T
iShares Gold Trust,IGT,T
iShrs GrowCore Portf,XGR,T
iShares India Idx Un,XID,T
iShare IntlFndmnt Un,CIE,T
iShare IntlFndmnt Ad,CIE.A,T
iShr JP USD Emrg Mkt,XEB,T
iShare Jantzi Social,XEN,T
iShares JapFndmnt Un,CJP,T
iShares JapFndmntlAd,CJP.A,T
iShr MSCI Cntry Wrld,XMW,T
iShares MSCI Brazil,XBZ,T
iShr MSCI CdaMinVlty,XMV,T
iShare MSCI EAFE Idx,XIN,T
iShare EAFE Min Vlty,XMI,T
iShare MSCI EmergMkt,XEM,T
iShr EmrgMkt MinVlty,XMM,T
iShr MSCI EU IMI Idx,XEU,T
iShr MSCI EU IMI CAD,XEH,T
iShr MSCI US MinVlty,XMU,T
iShare MSCI World Un,XWD,T
iShare NASDAQ 100 Un,XQQ,T
iShares MoneyMkt Un,CMR,T
iShares MoneyMkt Adv,CMR.A,T
iShare S&P CnsmrDscr,XCD,T
iShr SP Glbl Indstrl,XGI,T
